x	arrow-star	arrow-mst	arrow-random	ivy-random	random-random	localMinPairs-random	minWeight-random	dynamicStar-random
265.0	1.943609022556391	13.165413533834593	6.278195488721802	4.165413533834584	5.458646616541349	5.195488721804508	7.398496240601506	4.484962406015039
298.0	1.9498327759197327	13.294314381270913	6.37792642140468	4.187290969899663	5.4414715719063524	5.227424749163876	7.491638795986623	4.521739130434783
335.0	1.9375000000000004	13.011904761904765	6.315476190476188	4.166666666666664	5.532738095238095	5.327380952380947	7.747023809523809	4.449404761904761
376.0	1.9442970822281171	12.745358090185682	6.291777188328911	4.204244031830235	5.541114058355437	5.360742705570289	7.89655172413793	4.440318302387266
422.0	1.9456264775413716	12.832151300236413	6.35224586288416	4.177304964539003	5.569739952718675	5.354609929078012	8.307328605200944	4.3900709219858145
475.0	1.9432773109243704	12.911764705882366	6.281512605042013	4.186974789915964	5.640756302521007	5.289915966386554	8.470588235294114	4.329831932773107
533.0	1.9456928838951315	12.97940074906369	6.27715355805243	4.187265917602995	5.709737827715355	5.288389513108611	8.758426966292133	4.292134831460674
599.0	1.9516666666666675	13.04166666666669	6.308333333333328	4.201666666666665	5.778333333333334	5.3266666666666636	9.018333333333329	4.243333333333334
673.0	1.9569732937685462	13.170623145400615	6.256676557863497	4.192878338278931	5.707715133531158	5.307121661721063	9.403560830860535	4.219584569732942
756.0	1.95112285336856	13.220607661823005	6.233817701453101	4.179656538969618	5.688243064729196	5.2800528401585165	9.568031704095114	4.154557463672395
849.0	1.9494117647058817	13.14000000000002	6.215294117647058	4.211764705882357	5.700000000000002	5.271764705882353	9.882352941176476	4.076470588235298
954.0	1.9528795811518325	13.206282722513109	6.197905759162303	4.206282722513094	5.703664921465973	5.343455497382199	10.451308900523575	3.985340314136131
1072.0	1.950605778191985	13.172413793103471	6.194780987884437	4.193849021435237	5.6868592730661724	5.353215284249769	10.626281453867671	3.9086672879776376
1204.0	1.954356846473028	13.204979253112047	6.214107883817427	4.207468879668058	5.699585062240668	5.395850622406641	10.819917012448144	3.8448132780083037
1353.0	1.9579025110782842	13.275480059084206	6.245937961595273	4.2097488921713495	5.723042836041366	5.389955686853774	11.026587887740025	3.7474150664697246
1519.0	1.9585526315789437	13.358552631578956	6.262499999999998	4.200657894736844	5.723684210526327	5.461842105263168	11.31118421052631	3.633552631578952
1707.0	1.9560889929742358	13.300936768149878	6.2511709601873555	4.197306791569088	5.736533957845444	5.524590163934436	11.501756440281026	3.5398126463700277
1917.0	1.957768508863397	13.291449426485912	6.248175182481754	4.193952033368099	5.7502606882169065	5.571949947862361	11.713242961418132	3.518248175182486
2154.0	1.9540603248259834	13.290023201856128	6.235266821345707	4.180046403712307	5.739211136890963	5.637122969837588	11.954988399071919	3.421345707656618
2420.0	1.9566294919454752	13.242048740189988	6.222222222222228	4.16646014043785	5.714167699297831	5.662123089632383	12.218091697645608	3.3130937629078927
2718.0	1.9562339095255594	13.193085693269582	6.238690695108502	4.181684442809867	5.734461198970227	5.695108495770511	12.440970945200444	3.2283927914674573
3053.0	1.953831041257365	13.284872298624753	6.257039947609695	4.171578258022277	5.716437459070089	5.7105435494433605	12.632285527177482	3.1172233136869694
3430.0	1.954823666569512	13.238122996211008	6.270183619935878	4.167006703584969	5.728650539201424	5.725153016613239	12.850189449140204	2.997959778490235
3853.0	1.9566683964711975	13.2797093928386	6.27322262584328	4.174364296834467	5.736896730669456	5.77763362740011	13.006746237675175	2.925531914893621
4328.0	1.953799953799954	13.2956802956803	6.25479325479325	4.176946176946178	5.732501732501754	5.83252483252483	13.239778239778271	2.8544698544698597
4862.0	1.9537322640345474	13.33045445198438	6.270820481184448	4.161422989923911	5.72239358420729	5.880115155253951	13.476660497635228	2.7684556857906713
5462.0	1.9540545487827232	13.363902617609394	6.285008237232279	4.15870400878639	5.696320702910495	5.8808347062053805	13.789309902983723	2.7376899139666913
6135.0	1.9555084745762734	13.384778357235994	6.2975880052151165	4.171121251629735	5.702411994784883	5.931551499348114	14.031779661016978	2.6714471968709304
6892.0	1.9560423618163376	13.398665312635998	6.294211518932234	4.172783983751634	5.697083998259106	5.937472798491237	14.245901639344293	2.593645727549693
7742.0	1.9544104352318237	13.4397520340953	6.289035257652042	4.174867622368597	5.696629213483153	5.913728528993935	14.411210125274463	2.5448792457703733
8697.0	1.9564267647735134	13.4804552770752	6.282938606576201	4.180616233616916	5.689813750287437	5.974246953322607	14.599333180041416	2.482409749367667
9770.0	1.9569133149114768	13.479787125166348	6.306416948111744	4.180227202947484	5.684576808924359	6.007061713233038	14.768805649370616	2.427796540783947
10974.0	1.9567198177676557	13.488200455580902	6.2980410022778885	4.186605922551241	5.666788154897469	6.0307061503416755	14.842277904328068	2.3766742596810877
12328.0	1.9561197177386649	13.53272771514322	6.28753345770134	4.1893908670613875	5.655689836969737	6.068862032606052	15.007380971692806	2.3325492740692613
13848.0	1.9557368763087553	13.524153368474304	6.273449346523216	4.184562062242754	5.6518160155968	6.084049389847662	15.115820636869136	2.2980720629648275
15556.0	1.9562254933470418	13.52645111525362	6.2812238863534295	4.18821109468405	5.655653403612511	6.120653082213804	15.235456707591494	2.268817895481135
17475.0	1.9565690089265224	13.522831311512968	6.277924010070962	4.188143739986259	5.6649118791485495	6.132524605172833	15.351110093843017	2.23506523231862
19630.0	1.955937038357691	13.50297998064288	6.281187917069929	4.186898273139406	5.6601293871937255	6.149610310223646	15.413580561357062	2.2090571035607076
