x	arrow-star	arrow-mst	arrow-random	ivy-random	random-random	localMinPairs-random	inbetween'-0.5-random	inbetween'-0.1-random	inbetween'-0.2-random	minWeight-random	dynamicStar-random
132.0	1.727202079327721	1.8884396763102713	7.798255357020168	5.351025048252815	9.79772574521053	3.4916649799080446	7.330010015047511	5.307646082395354	5.759266382991103	3.2589014146061883	5.195698307590532
148.0	1.802726240996954	1.8881101499280646	7.7388824904180105	5.4690024054601745	9.60615758852899	3.463821778025109	7.397029618607207	5.578473986647019	6.002055990577515	3.22070537067332	5.254229980827683
166.0	1.8853215394939289	1.9113013656566729	8.49782664014085	5.939257966633927	12.659112531497918	3.6132482421255303	8.220328434290456	6.003242465869896	6.552670770900759	3.639201360571549	5.69093235620017
187.0	1.8487102518245395	1.8912687124731566	8.662007399749402	5.799059642809684	12.384569758100893	3.423984037150701	8.114135487480237	5.893852991115698	6.5242433361849095	3.5442587167817714	5.415125652604154
210.0	1.8732286847526671	1.8983420865592027	8.571625893369418	5.796681757530922	11.994298108982877	3.3031294750003193	8.033638186444456	5.8324749120304435	6.373307859707975	3.3747347730637713	5.311048087745948
236.0	1.8310911335392992	1.88308644428549	8.4387594675174	5.7370878510567795	11.35208245404709	3.185494728657035	7.959526151007352	5.807123021389666	6.348735848703823	3.251903141395655	5.204890408560097
265.0	1.7920597865754075	1.8649226893697355	8.290874621704381	5.586972682126356	10.873725869834498	3.0433728940286224	7.927756827723098	5.675231995875403	6.1318295975373935	3.138475676586165	5.122234712691042
298.0	1.8549643141132157	1.856006615095763	8.254081247915643	5.654544675467331	10.859058476445389	2.9636495240333853	8.027356458236989	5.762815121602416	6.114311481261083	3.043498839808388	5.1542301929789796
335.0	1.8386805341463475	1.8351018879734375	8.22316238852951	5.631006207700421	10.61361685008763	2.8545613972964534	8.117551508505018	5.707751177348155	6.086288922357067	2.9210245294081565	4.9909815017093315
376.0	1.8351772056191815	1.8649090104975874	8.364787764896555	5.601151504889012	10.14221821087895	2.7503189300156494	7.898668946027569	5.777227914160368	6.084237249443848	2.8413624177317733	4.914365968798063
422.0	1.8617189215773482	1.8920989977804485	8.44289611982463	5.721391049446835	9.820185446664608	2.7066747097147177	8.006973535715197	5.806224761232966	6.201327817010071	2.8286934773112162	4.913885639226517
475.0	1.8944988188561296	1.919855185257868	8.62376878141633	5.794504162247356	9.956026021539307	2.618373674223167	8.195660012402584	5.900239045210906	6.19313780887564	2.713291187487241	4.883515476802269
533.0	1.9768567578229128	1.9078764685217313	8.837910378765377	5.977532163053382	9.755167487705918	2.5836060545572654	8.473900081958345	6.047295098944947	6.57267154657601	2.619803113018088	4.887801633660561
599.0	1.9863429362940086	1.8970160205709854	8.814370570126385	5.936037644200652	9.862277903432913	2.520796267649879	8.436820680338878	6.074281845352095	6.469299298334421	2.523830041057295	4.779952379284607
673.0	2.0019622707456346	1.9034178021285801	8.739794772814307	5.926178933577196	9.495870835684526	2.4593148782908276	8.41227830719102	6.097442201676861	6.49621493003557	2.4516633629997417	4.690561763015635
756.0	2.006204871136922	1.9106167837991708	9.051044200410917	6.058367434813812	9.227747888386329	2.392522197611864	8.613769223884399	6.143684144634418	6.570422083656315	2.3950932998218732	4.475826640229531
