x	arrow-star	arrow-shortpairs	arrow-shortestpairs	ivy-random	localMinPairs-random	minWeight-random	indexMeanWeight-random
1353.0	1.5931009981813753	1.5620413577892311	1.593654466120881	2.32331112536205	1.6365420355913785	1.5993241466073467	1.610841747440893
1519.0	1.6047436972810485	1.5751696343278379	1.6056820446002404	2.307959446773559	1.64115152042615	1.607749041111169	1.6209922938813552
1707.0	1.598525005061103	1.5661324440138276	1.5988745465855794	2.3072687824089515	1.635516832669369	1.6012055129047091	1.6124995927842278
1917.0	1.5965330985172674	1.5699841487141746	1.5970248195375738	2.296076245282494	1.634907613107372	1.603792550650928	1.6091580723568089
2154.0	1.5957085157567612	1.572572216152162	1.5963363422154448	2.3032431710641585	1.6405650503780485	1.6021705595291467	1.6071352187385486
2420.0	1.5934925425757684	1.5660707317457696	1.593676438046386	2.318288312599238	1.638692310937628	1.5983251822188265	1.6032888209077183
2718.0	1.5893038834007196	1.564633497985932	1.5893070759956043	2.3373120200745756	1.6329536038805295	1.5927664631405638	1.5978659501799684
3053.0	1.5922316860880157	1.5693317148710604	1.592246487591349	2.3258900962606597	1.6359249818835964	1.5978134953432221	1.599866519977492
3430.0	1.584063630827481	1.5606554965556594	1.5840661608961193	2.314448803524857	1.6213568014399553	1.5894902487548557	1.5908489003036634
3853.0	1.5829652143841737	1.559019346525953	1.583371109869169	2.295315428247274	1.620929776183648	1.5917255157766297	1.589409402268568
4328.0	1.5785280142034512	1.5557020687061553	1.5785280142034537	2.305966110046577	1.6199073919749543	1.5868990128527654	1.5839037543067813
4862.0	1.5818387325991743	1.5568922720417877	1.58199283409827	2.2926119692138456	1.61791953766073	1.5861882902723161	1.586778270846634
5462.0	1.5815388904343644	1.560918209141764	1.5816512412458568	2.288734922092869	1.6108862901011622	1.5822302790589977	1.5859110946061508
6135.0	1.5802490102973095	1.5592711101403107	1.580249010297312	2.2885457044644477	1.6099171775478403	1.584156174514178	1.5840416404973277
6892.0	1.580932115885664	1.5590896713862739	1.5809321158856673	2.283750845687065	1.60633854071593	1.584440714296019	1.5843082335278094
7742.0	1.5833415341467485	1.5636947245706172	1.5834080432573545	2.278475305442159	1.606796821052207	1.5885144575084764	1.5864135422767598
8697.0	1.5849780068317452	1.5668337629274087	1.585029192269131	2.2831518451240593	1.6032051137185497	1.5878022396513087	1.5877047014559862
9770.0	1.584538717086414	1.5663747422902683	1.5845387170864174	2.275849364353457	1.6067250591941287	1.5878103603485645	1.586920415879505
10974.0	1.5834643961024584	1.5651569400611676	1.5835113191132517	2.2786583114844725	1.6064443843339775	1.5866363522230105	1.5856317363257528
12328.0	1.5824494324982157	1.5631302683286543	1.5824494324982221	2.2757536321948226	1.6044699233868718	1.5830056746662655	1.5843369804670118
13848.0	1.5856005163147717	1.5656289417013172	1.5856686166048275	2.275551680224512	1.6059349516420878	1.585813120774701	1.587348996336737
15556.0	1.588267367360235	1.569528241876049	1.588267367360242	2.2752785580751858	1.6085579467569364	1.591478414929678	1.5897632585286667
17475.0	1.5872361869529235	1.5680971984141874	1.5872696015733352	2.2796405139324816	1.608299384693773	1.58907559853249	1.588601232318768
19630.0	1.5883201108594243	1.5674623978852	1.5883201108594263	2.279504700819094	1.6123678863888127	1.5905950125122628	1.5895055613666456
22051.0	1.5881951131063217	1.5678048828126323	1.5882818540287147	2.277430622836021	1.6140253267868194	1.592310786462996	1.5893371587134202
24770.0	1.5910632118458685	1.5716972755095966	1.5910650196699814	2.2821007485910667	1.6183992678795185	1.593330951624651	1.5920044883594642
27825.0	1.5922581199949104	1.5737331433021051	1.592258119994919	2.2901241017789156	1.6145568117742655	1.5911615305221527	1.5930944449754063
31257.0	1.593371456407481	1.5747632710749924	1.5933879315512482	2.2926703327011153	1.6158056584658989	1.5929780312805868	1.5941324314842904
35111.0	1.5952394895705884	1.5760177483180697	1.5952407769877492	2.2914995232386626	1.6161758526520262	1.5922694371015977	1.5959035583419043
39442.0	1.5923778995970586	1.5744585717466926	1.5924175598967096	2.2907963135509375	1.6141512456374323	1.5912376576081504	1.5930075651931428
44306.0	1.5929663634402453	1.5759970142961481	1.5929709137128134	2.2872676459493957	1.6177546424594358	1.5940023719792584	1.593496148526886
49770.0	1.5920347689394658	1.574499783792626	1.5920467642163192	2.2875066731141906	1.6154886206646353	1.5936176866933556	1.5925143372790842
55908.0	1.5912646770064938	1.5737036945048326	1.5912730811836895	2.287678691621625	1.615454300987264	1.5942753935424652	1.5916893214832228
62802.0	1.5891496027918381	1.571924852774154	1.5891527077061476	2.288998040040655	1.613243980261816	1.5921845000522212	1.5895232565478588
70548.0	1.589878776517591	1.5717544892520692	1.5899069427581594	2.291364792964903	1.61376618590472	1.5927211682959548	1.5902368068087647
79248.0	1.590539488101918	1.5727091374338085	1.5905592274197577	2.293209345421812	1.6121153003087456	1.592341211672245	1.5908528788084897
