x	arrow-star	arrow-shortpairs	arrow-shortestpairs	ivy-random	localMinPairs-random	minWeight-random	indexMeanWeight-random
166.0	1.5748502994011975	1.8802395209580833	1.5688622754491026	1.8443113772455086	2.209580838323353	2.4251497005988014	1.7305389221556886
187.0	1.590425531914894	1.904255319148936	1.5851063829787244	1.877659574468085	2.2127659574468077	2.4521276595744665	1.7287234042553192
210.0	1.5971563981042662	1.90521327014218	1.5924170616113755	1.8909952606635072	2.246445497630331	2.483412322274879	1.7203791469194312
236.0	1.624472573839663	1.9367088607594936	1.6202531645569636	1.8987341772151896	2.2447257383966246	2.4683544303797453	1.7341772151898736
265.0	1.627819548872181	1.9473684210526319	1.6240601503759413	1.8796992481203	2.263157894736842	2.481203007518796	1.7255639097744362
298.0	1.6321070234113715	1.9698996655518395	1.6287625418060223	1.8929765886287622	2.3110367892976575	2.531772575250836	1.7190635451505019
335.0	1.645833333333334	1.9702380952380956	1.6428571428571455	1.87797619047619	2.3928571428571423	2.6071428571428568	1.7232142857142854
376.0	1.631299734748011	1.9734748010610084	1.6286472148541138	1.8726790450928377	2.413793103448276	2.636604774535808	1.7002652519893897
422.0	1.6288416075650114	1.952718676122932	1.6264775413711603	1.877068557919622	2.375886524822695	2.574468085106381	1.6903073286052015
475.0	1.6281512605042008	1.951680672268908	1.6260504201680686	1.8760504201680674	2.382352941176471	2.5987394957983168	1.6827731092436986
533.0	1.6273408239700362	1.9400749063670422	1.6254681647940086	1.8838951310861427	2.3951310861423227	2.5936329588014964	1.6760299625468178
599.0	1.6316666666666646	1.9433333333333345	1.6300000000000006	1.9166666666666665	2.4200000000000017	2.594999999999999	1.675000000000001
673.0	1.6305637982195829	1.925816023738873	1.6290801186943624	1.918397626112759	2.396142433234423	2.566765578635016	1.669139465875372
756.0	1.6155878467635387	1.8863936591809785	1.614266842800529	1.9114927344782024	2.3619550858652594	2.535006605019814	1.64993394980185
849.0	1.6058823529411748	1.8800000000000003	1.6047058823529416	1.9105882352941173	2.3694117647058857	2.5329411764705854	1.6364705882352941
954.0	1.6010471204188461	1.8670157068062825	1.6000000000000008	1.9130890052356018	2.3581151832460763	2.5319371727748665	1.6282722513089
1072.0	1.5945945945945939	1.863000931966449	1.5936626281453876	1.8956197576887233	2.362534948741848	2.537744641192915	1.6188257222739981
1204.0	1.597510373443984	1.8738589211618253	1.596680497925312	1.894605809128631	2.381742738589214	2.5751037344398333	1.6190871369294615
1353.0	1.5841949778434294	1.86632200886263	1.583456425406204	1.8744460856720835	2.3751846381093067	2.568685376661743	1.6033973412112272
1519.0	1.5940789473684231	1.8750000000000004	1.5934210526315795	1.8743421052631584	2.3644736842105263	2.5592105263157907	1.611184210526317
1707.0	1.5884074941452013	1.8758782201405149	1.5878220140515218	1.8483606557377052	2.324355971896955	2.5521077283372366	1.6036299765807978
1917.0	1.585505735140773	1.8644421272158493	1.5849843587069858	1.8472367049009388	2.3232533889468168	2.543795620437957	1.5990615224191875
2154.0	1.5800464037122979	1.8682134570765658	1.5795823665893263	1.8436194895591649	2.3211136890951245	2.5503480278422237	1.5921113689095137
