x	arrow-star	ivy-random	localMinPairs-random	inbetween-3-4-random	dynamicStar-random
132.0	14.756990481552583	34.5008835541601	27.52499296815355	29.787042959188067	32.83268253679257
148.0	14.76818185066509	34.0647141599977	25.47400928025271	29.51747810523324	34.51976837612569
166.0	14.778208848290594	34.7521233827657	23.343935379011253	29.27595929521534	33.564354314532416
187.0	14.787480265421271	33.716264860842514	21.332260178136966	29.05264004091686	31.884209435645822
210.0	14.795517167519877	33.275022180903456	19.619365925725432	28.859056367759464	30.81961569013301
236.0	14.802723987820368	33.735192092253136	17.993163524123464	28.685466752203904	30.816334028365624
265.0	14.809100293982699	33.069731825499716	16.770278081288545	28.531881607960933	31.392265515513508
298.0	14.814851544184018	33.66825565599331	15.498728506993	28.393352094280345	30.187456405397008
335.0	14.819956504905651	32.298209206203346	14.380689254171635	28.270389659788616	29.449562424240394
376.0	14.824442970852058	32.059292854738324	13.402631867976984	28.162324817546573	29.74038348962818
422.0	14.828441288194362	32.21847062814633	12.661945012564404	28.066017938592932	29.319498224680302
475.0	14.832089917113644	32.74883949327571	12.027535840086852	27.978133953007784	28.520653455013235
533.0	14.835252784116177	32.19312671773936	11.298078523586575	27.901950442925596	27.362995889469907
599.0	14.838108089568813	32.61050287477192	10.824131998042546	27.833175122444484	26.467777863086297
673.0	14.840644512783136	32.6440330874449	10.262024432823251	27.772080671313056	25.595459199898777
756.0	14.842899392930123	33.14923410667977	9.731682469521433	27.717767706438455	24.829074283181463
849.0	14.84490280040529	33.40867415416243	9.249302124417627	27.669511926647264	24.950488647579018
954.0	14.846695750280452	33.01720705312077	8.775316540326724	27.626325407965666	24.36268942077272
1072.0	14.848291923648224	33.186233675712046	8.3533509424541	27.587878615938312	22.516791018951743
1204.0	14.849707027486337	34.09148329439618	7.979253022292197	27.553793218913437	20.77938024977083
1353.0	14.850972875905878	33.75109161545124	7.644612377391981	27.52330291509898	20.13784078115874
1519.0	14.852090889237555	33.6518317318962	7.349053528048157	27.496373493198575	21.362126879302863
1707.0	14.853094643821258	33.74284543650971	7.0837002076770785	27.472196204875754	20.15496582462435
1917.0	14.853983198119604	33.521849651251905	6.848801321807357	27.450793728801806	19.134997806592445
2154.0	14.854777990354163	33.12009559189239	6.638689445982547	27.43164968570199	18.88819457036731
2420.0	14.855484699512203	33.15512320244727	6.451863278842163	27.414627286649708	18.770818103376907
2718.0	14.856112199054822	33.17802653480923	6.285977025498406	27.399512797898353	19.091582356850513
3053.0	14.856671399763709	32.8937993936929	6.138146303460798	27.386043413062005	18.712132755396045
3430.0	14.85717011512564	32.68258048401544	6.006305533462891	27.37403092983965	18.82003936832136
3853.0	14.857613528803508	32.15868650917464	5.889084358456022	27.363350490108516	18.900594866453144
4328.0	14.858008163676331	32.00254076510947	5.784758385217058	27.353844978245967	18.857244565192097
4862.0	14.8583597650379	31.974826294585085	5.6918087835370015	27.345376008209477	18.947162340924255
5462.0	14.858672817358054	32.13778503296704	5.609050035581299	27.337835563236883	17.71310085538189
6135.0	14.858951108677129	32.29838578718243	5.5354807321396775	27.331132401359973	16.624200117373928
6892.0	14.859199195328223	32.40934011801542	5.4698963575573885	27.32515677485745	16.295611879449098
7742.0	14.859419946254485	32.36890450605346	5.411538475853462	27.319839579919435	17.128702398430022
8697.0	14.859616497525016	32.38420780306681	5.359578033419242	27.31510527851192	17.409717000088637
9770.0	14.85979149929931	32.32834215113506	5.313314432102031	27.31089003663613	16.589102992247355
10974.0	14.859947125993111	32.53949604724768	5.272172841702306	27.307141479460515	16.14869528191529
12328.0	14.860085829496116	32.46802395292392	5.235505078822836	27.303800548681686	15.633372218588727
13848.0	14.860209224753056	32.543221860109504	5.202884215436149	27.300828345362945	15.25382962500893
15556.0	14.860319111355553	32.56429630421234	5.173834510151243	27.29818152300782	16.72784696983621
17475.0	14.86041694950588	32.53631979782231	5.147969942788295	27.295824909939558	17.678737650778007
19630.0	14.86050401858714	32.56387720489889	5.124952294656225	27.293727689845888	19.696312464350516
22051.0	14.860581537117278	32.41937954723537	5.10445943744823	27.291860512466698	22.287356904126387
24770.0	14.860650532309823	32.306963522490086	5.086219816199357	27.29019863545979	20.98609569728291
