x	arrow-star	ivy-random	localMinPairs-random	minWeight-random	inbetween-3-4-random	dynamicStar-random
265.0	1.4230976971122284	3.2075374091358952	2.413259566802458	2.8752971770860305	5.643153611311506	3.2969007611535983
305.0	1.4234249372230416	3.210942026630489	2.3129606610134936	2.811054093048704	5.404033795192877	3.2972632145427947
351.0	1.4237093200352504	3.246660555205046	2.2111589525005066	2.755224662915129	5.1976281542883775	3.009524966930704
403.0	1.4239528144017957	3.192302248916952	2.1154727900825074	2.707422365654829	5.193298827409484	2.7947154380467
464.0	1.4241690390105	3.1903408920464305	2.049921469837828	2.664973609378022	5.172989053545916	2.684733089551893
533.0	1.42435407852644	3.2256612532404905	1.9950179065473335	2.6286470443269936	5.1065782851971075	2.4579137707198693
613.0	1.4245165548044216	3.261286482491848	1.9280946865110093	2.5967500462649085	5.212004054899299	2.23832637827069
705.0	1.4246578815499003	3.3002300342338065	1.8710574234295032	2.569005079536967	5.328670269714349	2.235133202112205
811.0	1.4247810089581092	3.284828967032376	1.850500174882663	2.544832968076785	5.316929681050539	2.0658016787108835
932.0	1.4248873638082948	3.232837549791084	1.807142154146997	2.523953609610511	5.252845645593427	1.9106810878482625
1072.0	1.4249804866612594	3.2246910240876274	1.7671669473651037	2.5056719287555222	5.2679920311052735	1.8148111496541286
1232.0	1.42506101834641	3.2125775138204125	1.7512356329399934	2.489862119243108	5.181751711294416	1.7664900520068074
1417.0	1.425131478246626	3.198157489372539	1.7335398586391233	2.476029581173372	5.190944217899089	1.6037941635582118
1629.0	1.4251925557995233	3.18673949382835	1.7208935707850064	2.4640389656161625	5.229258637724402	1.4937110690958855
1873.0	1.425245747299601	3.156139923487365	1.7114790655347973	2.4535965232119823	5.198170000792622	1.424486536501773
2154.0	1.4252920812214385	3.1850108242972808	1.6883169391710446	2.444500346013733	5.1408338001234055	1.3684609224389588
2477.0	1.4253323588181037	3.185977374303762	1.6711197732422431	2.4365931337192674	5.048706238004234	1.3285349047997945
2848.0	1.4253673525097939	3.166686008860771	1.6547324072605596	2.4297232464354925	5.032547885316166	1.1853869026773958
3274.0	1.425397755440409	3.1398733277641853	1.6367387033118708	2.4237546076226346	4.968522684272231	1.0610182360372327
3764.0	1.4254242178506547	3.1617426772276245	1.623217796300625	2.418559563405678	4.892154219893481	0.952768978097886
4328.0	1.4254472606978825	3.178086206351756	1.6234138595767325	2.4140358405431845	4.903371950946685	0.8585080589339354
4977.0	1.425467315197095	3.173924986126132	1.6237884672124057	2.410098783820323	4.8579956176151	0.799529012030553
5722.0	1.4254847287438954	3.2087588874393904	1.624009057222141	2.4066801932704736	4.876453051604854	0.8777948513512747
6579.0	1.4254998832150452	3.2379187741718565	1.6240668207812852	2.403705099657563	4.845724368819961	0.917364798851853
7564.0	1.425513060047001	3.2504964907499567	1.6241697464092233	2.4011182519741237	4.893097107582135	0.9600155309037922
8697.0	1.4255245260269231	3.2609967880284483	1.6242057648059554	2.39886727513031	4.914458829859226	0.9100000205056978
9999.0	1.425534493869805	3.2629157830487654	1.6243498032761228	2.3969104093712423	4.922533574977703	0.9202396150609179
11497.0	1.4255431694616483	3.267326833169408	1.624360837853891	2.395207235592696	4.945091763960358	0.8849602935087016
13219.0	1.4255507132412346	3.268258963677627	1.6244564513701385	2.393726256795613	4.875992932263607	0.8959207035190326
15199.0	1.4255572746901222	3.2696082436874367	1.6245183783555681	2.3924381270759847	4.47211062374509	0.8410148674601491
17475.0	1.425562980223321	3.268619931054743	1.6245504822375372	2.391318028907939	4.12090988877255	0.8410261654244905
20092.0	1.4255679430202546	3.2707074611597315	1.6245892469172083	2.390343743146759	3.815431206852977	0.8042252563761324
23101.0	1.42557225957673	3.269056687498761	1.6246058248072544	2.3894963259417787	3.5497304698145937	0.7893173725163062
26560.0	1.4255760133338036	3.268820082743298	1.624657289438857	2.3887593963200313	3.3186718963486164	0.7244059689663763
30538.0	1.4255792790252464	3.274917150376822	1.624686362789798	2.3881182827075618	3.1176568442729677	0.6679343830873017
35111.0	1.4255821189080895	3.2805841333210926	1.6246772157612934	2.3875607629344637	2.9428518884879566	0.618826042330634
40370.0	1.4255845894242452	3.279704262174103	1.6247031908571734	2.3870757564455927	2.7907818617241755	0.5761049316653063
46415.0	1.425586737594448	3.2641480926740534	1.6247363999794107	2.3866540322293437	2.658554774832495	0.6649596653269537
53366.0	1.4255886061946437	3.2621080821317876	1.6247398885291926	2.3862871926046876	2.5435348297044866	0.7205938458688723
