x	reclique	ivy-random	arrow-star	arrow-mst	localMinPairs-random	inbetween-3-4-random
151.0	7.47368421052632	7.282894736842106	1.9934210526315788	8.651315789473676	9.644736842105265	12.157894736842104
174.0	7.525714285714288	7.348571428571428	1.9942857142857136	8.599999999999989	9.651428571428575	12.377142857142857
200.0	7.7263681592039815	7.25870646766169	1.9950248756218902	8.666666666666655	9.611940298507466	12.383084577114431
231.0	7.775862068965517	7.2844827586206895	1.9956896551724135	8.581896551724125	9.655172413793107	12.439655172413799
265.0	7.770676691729321	7.353383458646615	1.9962406015037595	8.484962406015027	9.62781954887218	12.53383458646617
305.0	7.80392156862745	7.349673202614376	1.9967320261437909	8.47385620915032	9.62418300653595	12.50653594771242
351.0	7.886363636363634	7.338068181818178	1.9971590909090904	8.457386363636367	9.607954545454547	12.482954545454554
403.0	7.858910891089109	7.3168316831683144	1.9975247524752466	8.465346534653468	9.556930693069308	12.433168316831694
464.0	7.933333333333335	7.305376344086016	1.9978494623655902	8.496774193548383	9.51182795698925	12.174193548387104
533.0	7.983146067415733	7.338951310861417	1.9981273408239697	8.56554307116104	9.466292134831463	12.144194756554317
613.0	8.04723127035831	7.330618892508141	1.9983713355048855	8.605863192182403	9.456026058631922	11.982084690553762
705.0	8.175637393767705	7.338526912181303	1.9985835694050984	8.654390934844187	9.42776203966005	11.950424929178478
811.0	8.20689655172413	7.312807881773396	1.9987684729064026	8.703201970443336	9.406403940886694	11.794334975369463
932.0	8.315112540192922	7.302250803858523	1.9989281886387973	8.700964630225073	9.420150053590563	11.705251875669882
1072.0	8.332712022367193	7.312208760484622	1.9990680335507902	8.671947809878834	9.39235787511649	11.52656104380242
1232.0	8.38929440389294	7.304947283049476	1.997566909975668	8.70802919708029	9.374695863746956	11.345498783454985
1417.0	8.409732016925247	7.276445698166424	1.997884344146685	8.687588152327216	9.306770098730603	11.081100141043722
1629.0	8.428834355828226	7.2699386503067425	1.9981595092024538	8.687116564417169	9.2760736196319	10.885276073619629
1873.0	8.444503735325506	7.283351120597648	1.9983991462113124	8.697972251867652	9.263607257203835	10.671824973319099
2154.0	8.461716937354975	7.288631090487236	1.9986078886310894	8.719257540603248	9.221809744779577	10.401856148491879
2477.0	8.457223567393058	7.292574656981431	1.998789346246971	8.703793381759484	9.143664245359155	10.089184826472964
2848.0	8.481923481923472	7.2800982800982785	1.9989469989469981	8.696033696033707	9.121797121797123	9.833625833625828
3274.0	8.496793893129784	7.286106870229004	1.9990839694656477	8.673893129770995	9.073282442748095	9.554503816793884
3764.0	8.507569721115555	7.287118193891096	1.999203187250995	8.634528552456846	9.027091633466132	9.29667994687915
4328.0	8.524601524601536	7.276507276507269	1.9993069993069983	8.654654654654655	8.980133980133969	9.012474012474016
4977.0	8.522298111691443	7.261952591402159	1.9993973483326613	8.656287665729216	8.95540377661712	8.721775813579756
5722.0	8.529267866503568	7.271361174209327	1.9991263323431752	8.659619080901615	8.939542198147835	8.433513891315709
6579.0	8.554103343465025	7.263829787234035	1.9989361702127628	8.654711246200582	8.91079027355624	8.120364741641325
7564.0	8.56523463317912	7.264243225380025	1.9988103106411084	8.644150693985452	8.878255122273629	7.781890284203562
8697.0	8.56380777190157	7.2659232007357994	1.9982754656242805	8.647850080478241	8.849965509312453	7.430788687054497
9999.0	8.580099999999998	7.260399999999989	1.998100000000002	8.64859999999998	8.837799999999982	7.069899999999987
11497.0	8.582101234997356	7.2517829187684635	1.9979996521134118	8.664202469994777	8.824404244216398	6.70647069055487
13219.0	8.590998487140695	7.246747352496198	1.9981089258698932	8.653630862329793	8.821028744326817	6.337518910741279
15199.0	8.601381578947365	7.248947368421037	1.9979605263157856	8.64914473684212	8.813026315789521	5.949934210526319
17475.0	8.603513389791697	7.251716639963362	1.9981116960402854	8.63967727168691	8.789826047150441	5.55001144426643
20092.0	8.615438212312732	7.256059324142709	1.9982580998357666	8.654207933111062	8.777136316130083	5.165679589906951
23101.0	8.614751969526441	7.251363518310077	1.9981386892909747	8.656047095489589	8.754869708250407	4.809540299541207
26560.0	8.618914950491284	7.25281427657089	1.9979292948307645	8.64417755355601	8.745378562554132	4.489815895485894
30538.0	8.621893316742522	7.25632797406592	1.9981335341694175	8.644323651724038	8.728805789318585	4.202822620256077
35111.0	8.629984051036645	7.260964912280669	1.9983196627933386	8.65575871496927	8.715282524493034	3.945602642971083
40370.0	8.6303287012954	7.262465631269943	1.9982413118327493	8.658665874018496	8.699115701865182	3.716578732258339
46415.0	8.635190451568322	7.261741640813494	1.998125646328853	8.657919682868007	8.689137366425385	3.5124526025508667
53366.0	8.634830513238406	7.26117263477425	1.9981449210186106	8.659340041598764	8.674293102479112	3.3321715666985323
61359.0	8.63722294654492	7.262793350717013	1.998191003911346	8.665792046936188	8.668888526727478	3.172653194263374
70547.0	8.639351930600391	7.263990474570464	1.9980864092532802	8.670989964279821	8.662839485173206	3.0315813346941143
81113.0	8.641257982592355	7.266797346943747	1.998187735779284	8.667357053036653	8.662154498606847	2.9080060162241
93260.0	8.64068581722258	7.2609987025659	1.9982736620881303	8.674890897588671	8.656630317067117	2.798704710436331
107226.0	8.643802400514625	7.258936648418758	1.9983679483712253	8.676769843416492	8.649668460369071	2.7027707573652457
123284.0	8.645187979072771	7.25851482337666	1.9982398507523391	8.678225250436038	8.642738370442444	2.6176096037636642
141747.0	8.647663459096211	7.257986003329798	1.9981587041792712	8.679621581962534	8.63890848548122	2.542653159127492
162974.0	8.651897530295688	7.258033440711754	1.9980794600399023	8.674612670655208	8.639134836631452	2.4771406657462958
