x	reclique	ivy-random	arrow-star	arrow-mst	localMinPairs-random	inbetween-3-4-random
305.0	6.8496732026143805	6.160130718954247	1.9771241830065374	7.160130718954248	8.03921568627451	9.254901960784316
351.0	6.96590909090909	6.232954545454544	1.9801136363636376	7.232954545454545	8.14488636363637	9.178977272727277
403.0	6.972772277227722	6.2450495049504955	1.9826732673267327	7.289603960396035	8.049504950495058	8.962871287128717
464.0	7.015053763440859	6.2408602150537655	1.9849462365591397	7.322580645161287	7.978494623655918	8.815053763440867
533.0	7.058052434456932	6.237827715355808	1.9868913857677906	7.320224719101121	7.945692883895134	8.705992509363309
613.0	7.100977198697073	6.309446254071664	1.9885993485342015	7.317589576547233	7.939739413680784	8.604234527687305
705.0	7.073654390934849	6.225212464589239	1.9872521246458914	7.311614730878188	7.899433427762044	8.553824362606234
811.0	7.126847290640401	6.2007389162561575	1.9889162561576346	7.3448275862068995	7.881773399014783	8.448275862068977
932.0	7.147909967845664	6.16720257234727	1.9882100750267955	7.3172561629153305	7.812433011789926	8.188638799571281
1072.0	7.1537744641192935	6.168685927306616	1.9897483690587143	7.295433364398886	7.778191985088532	7.92171481826655
1232.0	7.1378751013787545	6.1743714517437125	1.9894566098945674	7.31873479318735	7.713706407137061	7.64882400648825
1417.0	7.146685472496481	6.157263751763047	1.9894217207334273	7.360366713681246	7.693229901269395	7.4654442877292
1629.0	7.141717791411044	6.179754601226998	1.99079754601227	7.336196319018414	7.685276073619637	7.185276073619643
1873.0	7.168089647812169	6.191568836712916	1.9909284951974389	7.286552828175033	7.655816435432233	6.914621131270022
2154.0	7.185614849187936	6.197679814385154	1.9902552204176343	7.299767981438529	7.645475638051043	6.641763341067292
2477.0	7.190072639225182	6.203389830508478	1.9915254237288142	7.29378531073447	7.615415657788541	6.317594834543983
2848.0	7.19866619866619	6.2137592137592135	1.991224991224991	7.2888732888732966	7.597753597753602	6.0228150228150215
3274.0	7.221984732824422	6.216793893129775	1.99175572519084	7.312671755725188	7.568549618320616	5.694351145038155
3764.0	7.230278884462151	6.2124833997343964	1.9922974767596275	7.308897742363874	7.5737051792828645	5.415670650730398
4328.0	7.26241626241626	6.215061215061221	1.9933009933009902	7.317394317394316	7.562716562716553	5.109263109263098
4977.0	7.26155082362394	6.211530735235039	1.9941743672157453	7.310767376456407	7.542587384491757	4.8089594214543965
5722.0	7.255285689323778	6.219814782456759	1.9945832605276903	7.329197973091029	7.515289183994388	4.521055390529441
6579.0	7.248024316109413	6.208966565349552	1.9952887537993884	7.339969604863208	7.496200607902715	4.255927051671724
7564.0	7.248380700594827	6.199339061467298	1.9940515532055476	7.3384005287508005	7.4734963648380495	4.008592200925307
8697.0	7.266613014486072	6.19498735341457	1.9945964589560794	7.3400781788916785	7.465049436652084	3.787652333869851
9999.0	7.268599999999989	6.192900000000003	1.994099999999993	7.345899999999982	7.446499999999964	3.5878999999999968
11497.0	7.26352409114628	6.185684466863799	1.9938250130457404	7.341276743781515	7.428074447730018	3.411288919812138
13219.0	7.260741301059011	6.178819969742819	1.9934190620272256	7.340166414523452	7.414674735249595	3.2530257186081615
15199.0	7.256052631578937	6.177368421052617	1.9933552631578892	7.351973684210537	7.403881578947356	3.1151973684210477
