x	reclique	ivy-random	arrow-star	localMinPairs-random	inbetween-3-4-random
40370.0	4.501098901098901	820.2241758241759	819.4	50.23516483516484	819.8725274725275
46415.0	4.501098901098901	815.1120879120879	819.4	41.98461538461538	821.3025641025641
53366.0	4.501098901098901	821.952380952381	819.4	35.616849816849815	818.770695970696
61359.0	4.501098901098901	820.8263736263737	819.4	27.83076923076923	818.6915750915751
70547.0	4.501098901098901	817.3025641025641	819.4	19.85860805860806	821.1267399267399
81113.0	4.501098901098901	816.6234432234432	819.4	20.63736263736264	821.8461538461538
93260.0	4.501098901098901	830.5076923076923	819.4	13.85934065934066	822.1509157509157
107226.0	4.501098901098901	820.4454212454212	819.4	13.366300366300367	823.651282051282
123284.0	4.501098901098901	821.9794871794871	819.4	9.556043956043956	822.1509157509157
141747.0	4.501098901098901	821.7919413919414	819.4	9.613919413919414	822.4673992673993
