x	arrow-star	fixedRatio-0-1-random	fixedRatio-1-8-random	fixedRatio-1-4-random	fixedRatio-3-8-random	fixedRatio-1-2-random	fixedRatio-5-8-random	fixedRatio-3-4-random	fixedRatio-7-8-random	fixedRatio-1-1-random
24.0	1.5604051829793097	6.72139311539567	6.854105224516133	8.211062703022426	8.931810340525226	9.008930152492548	9.986660953847002	11.532115879421024	13.027317168363005	9.863908114030231
28.0	1.5662672567424842	6.561929633667611	6.76088490429147	7.847666816706366	8.889753157140593	9.231945603928942	10.058836472210006	11.463047670028313	12.76198409837284	9.788008346962746
32.0	1.5370775746124554	6.1874899226659865	6.27922049312609	7.42199621812576	8.41489212394999	8.974793767420476	9.872148690330759	11.047881034202808	11.809156198590118	9.531238886596373
37.0	1.4528612065056923	6.158888921810504	6.203469601307282	7.3631103787967245	8.313482906959193	8.728837305352839	9.78220642058931	11.111071423410296	12.252743307184032	9.346929958220857
43.0	1.4826725080375622	6.401535165832526	6.439746562587834	7.60225466403229	8.836446267856104	9.46307056804743	9.918753492651911	11.754411219383742	12.599219511198545	9.965208779062436
49.0	1.4589938478490583	6.417169675345671	6.5597498062786235	7.913051996695246	8.8278799957023	9.505480294930452	10.378003519503794	11.541440944612566	12.544269870257962	10.162946991378035
57.0	1.456323488068312	6.1739980733711235	6.367741656963283	7.738770212289326	8.688106388230038	9.475219610892827	10.448525888499058	11.55372034662545	12.204950266864875	10.539013245484488
65.0	1.4390962797203712	6.319566937256364	6.569888814693217	8.041318786345519	8.872674278980126	9.705139359918684	10.836428485971913	11.983531013301441	12.835171833471115	10.823588023747439
75.0	1.4149329814776292	6.199663185843875	6.400530106589977	8.059698862330361	8.888204969791426	9.853710326147192	10.71595136645507	11.956416325237177	12.87034656256324	10.769589562234513
86.0	1.3935554086405675	6.102118680685072	6.264727423562805	7.950139621618855	8.762237797275445	9.757976255906032	10.72624406720756	11.83375071966753	12.790071974637495	10.635467845868753
99.0	1.4246574892547892	6.145544495255218	6.441379223681971	8.051873717510436	8.754112949385597	9.899468877996872	10.730485710629983	12.034253626238455	12.799036570529665	10.66548330166032
114.0	1.4253235117329868	6.317795165425546	6.573816736026466	8.128506030875272	8.866030655607975	10.141905906646052	10.815770925846707	12.413256643900425	13.357080855855505	10.664756686512998
132.0	1.367964528985663	6.3123015989768545	6.585074232399362	8.073606262086772	8.831274942541022	9.905269954053264	10.91472387184839	12.473039012658864	13.378450318680157	10.877998265834314
151.0	1.355122413290747	6.278612830328704	6.626071426003243	8.330403289843263	9.113260491792142	10.125163391403673	11.028830620174718	12.493312176869413	13.75631280401494	10.94812501130075
174.0	1.3648674640278426	6.325327584537437	6.720769689020306	8.495112582370007	9.132988817982977	10.469159340606813	11.24671773344203	12.668867938279316	14.298412699308038	10.862807208788748
200.0	1.3813057041569285	6.295799918950753	6.652647353141002	8.48347394065227	9.349897226199843	10.501147460060519	11.356484532501092	13.002036886415855	14.4965624536789	10.967009338013185
231.0	1.3910609759590349	6.346357383457429	6.683060557867493	8.470424503852955	9.429784297111073	10.458446905346246	11.373810720794955	13.042987138854341	14.589083818299269	11.092753935420067
265.0	1.393715358614666	6.312008876384072	6.6857925078620575	8.475312268007578	9.435543300530487	10.423257518003986	11.301119347674508	12.99222016698569	14.577791316191739	11.035750418038411
305.0	1.3934148230014138	6.395349055751594	6.797086796805435	8.539141184492944	9.380078837623712	10.46902175577844	11.249760511685983	13.049198929545922	14.66268909744516	10.974376231604705
351.0	1.3907079484791356	6.259223724181846	6.77648186570945	8.637734873076983	9.48552647484903	10.564791225108687	11.347966777531086	12.985440802142934	14.642308318622892	10.814244497467698
403.0	1.3901772580971115	6.270336672674885	6.811934839136444	8.685856473330162	9.549408627712305	10.52564866262193	11.312095235284152	12.993881567481832	14.888844585027476	10.809182967802444
464.0	1.3979382756334986	6.28836277937738	6.815080379517441	8.734455621014229	9.59221392560879	10.560210425053642	11.291836421770846	12.883291064416458	14.842252823754977	10.825970921276348
533.0	1.3954947467713157	6.252973241634928	6.778317993824815	8.745584249539819	9.565457729447717	10.635027322533967	11.378430525898429	12.921998363077167	14.923720016999274	10.774361534293652
613.0	1.4115622511104695	6.284234570260579	6.857796747170324	8.843377036453045	9.57288916727167	10.589902190830063	11.409105203725508	12.857576554964899	14.7153138816743	10.7720331770623
705.0	1.414128563235214	6.301572496773399	6.8271232715610894	8.829504517485558	9.5536255984517	10.557709003000483	11.429099919066168	12.931772328045763	14.771050678329706	10.73561162936635
811.0	1.4146905045566942	6.330843276160407	6.823259235708255	8.751457665418709	9.488806322995185	10.485537862131162	11.422288354889753	13.013665651579155	14.708162317739781	10.898163671693457
932.0	1.4203659657897607	6.328632414772404	6.792678062607128	8.796890851206946	9.50416264348944	10.521640269697365	11.359247549065822	12.940844856863473	14.727927637466182	10.894932107337729
