x	arrow-star	inbetween-0-1-random	inbetween-1-8-random	inbetween-1-4-random	inbetween-3-8-random	inbetween-1-2-random	inbetween-5-8-random	inbetween-3-4-random	inbetween-7-8-random	inbetween-1-1-random
99.0	1.9784321401352414	9.645884949193494	10.038510522414878	11.887026983099036	12.86345030778632	14.342806407454004	14.689568647931718	14.095448927928173	13.813134431217676	14.958828503208988
114.0	2.077515779331579	9.959701618331335	10.3900125933882	12.250133141702674	13.559111585893586	15.170029226698684	14.981393919988921	14.828452216829593	14.23393801093936	15.397330866957251
132.0	2.5851371237829444	11.680777205349482	13.087356020319426	14.775011627666528	16.1655628134282	18.15689718752794	17.77154430092898	18.190792234594362	17.48064669051393	16.67971407014744
151.0	2.4486141732183357	11.045635212071149	12.350622592110762	14.351575342872106	15.429343041826876	17.263290159706425	16.99978881557445	17.311171988760094	16.712402070285606	16.03172924467586
174.0	2.5432268393824895	12.06817924786772	13.604666829378779	16.730509568893808	17.38710755165298	19.24453914329473	19.181123745085106	19.19035909436253	18.240760534830265	18.090170316415726
200.0	2.5662112548556846	11.813383051460013	13.33541680810639	16.839786059816316	17.00121349177183	19.277319962193726	18.88043442014194	19.21441254175966	17.612184267365368	18.209196082228615
231.0	2.467202473730541	11.374750232485203	12.811619234390347	16.19739281768315	16.290290824378104	18.739452274371992	17.90752953799543	18.351434443004795	16.685502892595892	17.97652166228622
265.0	2.4093003987699215	11.093901888845709	12.394747953739486	15.83193874762414	16.121880110759445	18.09577021175609	17.550416186514603	17.486472100134804	16.01906884873021	17.664789940180746
305.0	2.328534544203265	10.6145262320872	11.803294091183238	15.1368092968877	15.292501579123018	17.35108181775794	16.86733648496199	16.667932354232363	15.12918212414019	16.973574136503153
351.0	2.254463138186497	10.23185044524099	11.311354741526907	14.730482680265037	14.904304831773695	16.66179511661851	16.371042958148855	15.783958148786219	14.491462263665598	16.516310261160566
403.0	2.2324670205358492	9.971240169894044	11.090347047309898	14.347114002167286	14.863040753957744	16.257276721234692	16.15884018139155	15.271773169839525	13.931029600873659	16.388076217291133
464.0	2.2100835117979227	9.926653879652873	10.99256771752501	14.073020229336828	14.96856428116445	16.008336294895262	16.077306713270104	14.881299800461278	13.747479103402249	16.623553475474527
533.0	2.1957040859096324	10.018995794330747	10.868382817791666	13.987580240764494	14.980329643583707	16.336902693159935	16.358384172093277	14.933566750280182	13.655863884598864	16.713325745119835
