x	arrow-star	arrow-approxMinPairs	arrow-minPairs	arrow-random	arrow-mst
5462.0	1.5488674687045991	1.5796609362464926	1.414162973930672	2.7395433951629244	1.634088769386703
6135.0	1.551862831851136	1.5825125065785928	1.4184899467883851	2.727812723031459	1.6371139897307314
6892.0	1.5453131965827116	1.5811369425491664	1.419005211141936	2.7125431854046194	1.6367035653057114
7742.0	1.5420338385486656	1.5776465506917308	1.4162088623893656	2.719772616374017	1.6347544854110476
8697.0	1.5378904714218822	1.5740350863415722	1.411955211610358	2.7157547842934866	1.6306101913214321
9770.0	1.5411671121661084	1.5765829326886822	1.4155863743265744	2.7184169112190775	1.6343823033983382
10974.0	1.5403338794606078	1.5740359259004895	1.4119851087095465	2.7114038998222507	1.6307394377750815
12328.0	1.5386306804828511	1.5706075754227096	1.412825965540776	2.703670122713775	1.6313036824097942
13848.0	1.5377998988385284	1.5698258922752606	1.4101743926604144	2.7110239128169327	1.6295789314638411
15556.0	1.541715827906806	1.5783697753691746	1.4161338942959052	2.721478906737023	1.6374843648273805
17475.0	1.542646053037117	1.5790391361768288	1.4174964024521066	2.727462815711049	1.6392642812626228
19630.0	1.5455265957769821	1.5808669884943471	1.4191890210670897	2.73047573813298	1.6417203386623673
22051.0	1.5433287284411459	1.5808821469090233	1.418958170628081	2.7252596250638765	1.6419474717166023
24770.0	1.5430429388637286	1.5799773215465134	1.4166104067243013	2.7210180019663537	1.6381796866274172
27825.0	1.540621242508793	1.5792067954456919	1.4159092980504764	2.713151557499673	1.6367741912901137
31256.0	1.5425203073786597	1.5841949294597786	1.4200243145609706	2.7162673970689912	1.6442846123849297
35111.0	1.5441109490542082	1.5851097939929748	1.4205544165514208	2.713360914001425	1.6453087563062563
39441.0	1.5423678930333182	1.5831976364050138	1.4190854845499334	2.7134300652474614	1.6430882149842834
44305.0	1.5430578490380227	1.5860181394426294	1.420839842584436	2.7154181459296125	1.645646915288858
49769.0	1.5460400676908037	1.5879409263676578	1.424599294639991	2.71983145114425	1.648668471893991
55907.0	1.5454089462045022	1.5882910146089966	1.423311795369934	2.7222352615022563	1.6484414798197686
62802.0	1.5460927014840689	1.5860195551660157	1.4231314954195908	2.723091110812714	1.6468606900711744
70547.0	1.5440327791640152	1.5839811759539222	1.422363983756339	2.720158683126245	1.64504699570274
79247.0	1.544747113519392	1.5841833416595585	1.4234100560010263	2.7179005076392193	1.6460047517944645
89020.0	1.5456984060262755	1.5838122714598528	1.4235379683824023	2.7176673914819016	1.6453232116628351
99999.0	1.5464523099021246	1.5848203945090904	1.423308142577452	2.7181648491805124	1.6454247957541375
