x	arrow-star	arrow-shortpairs	arrow-shortestpairs	arrow-random	arrow-mst
6135.0	2.1945090125914573	1.633582002456626	1.4297903023493388	4.3819819018238455	1.569642070833476
6892.0	2.1773382581913974	1.6303211633339345	1.4264125267265686	4.370019996265446	1.567837873872639
7742.0	2.1754506919791017	1.6291224911572497	1.42421324343938	4.376748316808843	1.5673853885108053
8697.0	2.1712453716841775	1.626766637309525	1.423005551951867	4.36470458469204	1.5654652560521525
9770.0	2.1800276865969157	1.6277266263033174	1.42306969953119	4.357883575741188	1.5643168233316134
10974.0	2.1892746218701333	1.620233946860407	1.4218664991570518	4.394168940464412	1.5629302835031076
12328.0	2.201747936240021	1.6208938407607278	1.4204774009395915	4.4325188963766475	1.5628873413741542
13848.0	2.1909800150563017	1.6248430656518515	1.4208934116467218	4.406005044686445	1.5653106345399699
15556.0	2.18871021345272	1.622759330355123	1.4209359655581952	4.4087960307201355	1.5648131211537646
17475.0	2.1934310888440764	1.6243529791877762	1.4226407374030743	4.412962799826472	1.568887215380291
19630.0	2.191607988947302	1.6260443680895982	1.4241519135390444	4.413214888840947	1.570745178708499
22051.0	2.1825307418407216	1.627730428701826	1.423060441981021	4.373862835502326	1.5681421418543287
24770.0	2.1765291349804494	1.627045335956156	1.422425360690758	4.363267409931368	1.5668138447792166
27825.0	2.1746594214570694	1.6286351082636903	1.42380588156341	4.357588797222798	1.5717404680795228
31256.0	2.18153163263026	1.6288774929196685	1.42545889115251	4.363673439387101	1.573536076237512
35111.0	2.1755218373193093	1.630713887259212	1.4255858918781372	4.360083057108737	1.5747195797561935
39441.0	2.1667649253264973	1.632166538152501	1.4263307245431154	4.337363603822376	1.5757162088855134
44305.0	2.16808675509003	1.631365130133468	1.4286823697865225	4.332081800505551	1.576744661774221
49769.0	2.1737038506914397	1.6331192638945018	1.4280698167227082	4.353094548363129	1.5764929997095758
55907.0	2.176847914658457	1.6307027042001017	1.427613781624152	4.363432880458957	1.5750017647618098
62802.0	2.1731236434690637	1.6296703009890212	1.4277857200766555	4.3571944329017125	1.5735925629494627
70547.0	2.1691817238011075	1.629193103866654	1.4287959901155878	4.340120145407639	1.5746649027877369
79247.0	2.1717615586127677	1.6284119934311283	1.4287583555545635	4.342894945551679	1.5740007973134922
89020.0	2.173966896313011	1.6308317913192836	1.4290063385351042	4.347571445017625	1.5743406128514108
