x	reclique	ivy-random	arrow-star	arrow-mst	localMinPairs-random	inbetween-3-4-random
200.0	12.989021043000914	3016.872827081427	2980.2717291857275	12.989021043000914	2547.887465690759	3005.454711802379
231.0	12.989021043000914	3012.629460201281	2980.2717291857275	12.989021043000914	2489.3339432753887	3012.409881061299
265.0	12.989021043000914	3014.935041171089	2980.2717291857275	12.989021043000914	2446.447392497713	3030.4867337602927
305.0	12.989021043000914	3039.7913998170175	2980.2717291857275	12.989021043000914	2393.070448307411	3017.8389752973467
351.0	12.989021043000914	3038.232387923147	2980.2717291857275	12.989021043000914	2336.569990850869	3003.951967063129
403.0	12.989021043000914	3056.4190301921317	2980.2717291857275	12.989021043000914	2271.6733760292773	3003.8147301006406
464.0	12.989021043000914	3041.070448307411	2980.2717291857275	12.989021043000914	2192.7950594693502	3009.45791399817
533.0	12.989021043000914	3037.288197621226	2980.2717291857275	12.989021043000914	2111.7580054894784	2995.6738334858187
613.0	12.989021043000914	3029.5041171088747	2980.2717291857275	12.989021043000914	2056.4940530649587	2969.7415370539798
705.0	12.989021043000914	3013.5187557182066	2980.2717291857275	12.989021043000914	1984.6285452881975	2964.087374199451
811.0	12.989021043000914	3017.630375114364	2980.2717291857275	12.989021043000914	1901.3421774931383	2972.3888380603844
932.0	12.989021043000914	3008.4135407136323	2980.2717291857275	12.989021043000914	1803.748856358646	2946.0228728270813
1072.0	12.989021043000914	3031.489935956084	2980.2717291857275	12.989021043000914	1715.1061299176579	2981.8032936870995
1232.0	12.989021043000914	3009.0791399817017	2980.2717291857275	12.989021043000914	1619.871912168344	2997.5745654162856
1417.0	12.989021043000914	3026.822506861848	2980.2717291857275	12.989021043000914	1527.7392497712717	2994.4510521500456
1629.0	12.989021043000914	3018.2369624885637	2980.2717291857275	12.989021043000914	1445.2886550777675	2999.8032936870995
1873.0	12.989021043000914	3032.9144556267156	2980.2717291857275	12.989021043000914	1336.7822506861849	3004.974382433669
2154.0	12.989021043000914	3020.427264409881	2980.2717291857275	12.989021043000914	1254.0420860018298	3011.343549862763
2477.0	12.989021043000914	3062.5411710887465	2980.2717291857275	12.989021043000914	1170.6967063129002	3017.7264409881063
2848.0	12.989021043000914	3045.6843549862765	2980.2717291857275	12.989021043000914	1068.7680695333943	3029.189844464776
3274.0	12.989021043000914	3021.6308325709056	2980.2717291857275	12.989021043000914	948.4496797804209	3007.694419030192
3764.0	12.989021043000914	3019.274473924977	2980.2717291857275	12.989021043000914	836.6097895699909	3004.5434583714546
4328.0	12.989021043000914	3012.4085086916743	2980.2717291857275	12.989021043000914	764.331198536139	3003.1312900274474
4977.0	12.989021043000914	3054.945105215005	2980.2717291857275	12.989021043000914	663.9945105215005	2973.4771271729187
5722.0	12.989021043000914	2978.31747483989	2980.2717291857275	12.989021043000914	570.8147301006404	2969.585086916743
6579.0	12.989021043000914	3000.0667886550777	2980.2717291857275	12.989021043000914	466.8316559926807	2967.4894784995427
7564.0	12.989021043000914	2991.239707227813	2980.2717291857275	12.989021043000914	407.0430009149131	2968.215462031107
